operation,description
R1,"Utilização como combustível (que não em incineração directa) ou outros meios de produção de energia/Utilização principal como combustível ou outros meios de produção de energia"
R2,"Recuperação/regeneração de solventes"
R3,"Reciclagem/recuperação de compostos orgânicos que não são utilizados como solventes"
R4,"Reciclagem/recuperação de metais e de ligas"
R5,"Reciclagem/recuperação de outras matérias inorgânicas"
R6,"Regeneração de ácidos ou de bases"
R7,"Recuperação de produtos utilizados na luta contra a poluição"
R8,"Recuperação de componentes de catalisadores"
R9,"Regeneração de óleos e outras reutilizações de óleos"
R10,"Tratamento no solo em benefício da agricultura ou para melhorar o ambiente"
R11,"Utilização de resíduos obtidos em virtude das operações enumeradas de R1 a R10"
R12,"Troca de resíduos com vista a submetê-los a uma das operações enumeradas de R1 a R11"
R13,"Acumulação de resíduos destinados a uma das operações enumeradas na presente lista"
D1,"Deposição sobre o solo ou no seu interior (por exemplo, aterro sanitário, etc.)"
D2,"Tratamento no solo (por exemplo, biodegradação de efluentes líquidos ou de lamas de depuração nos solos, etc.)"
D3,"Injecção em profundidade (por exemplo, injecção de resíduos por bombagem em poços, cúpulas salinas ou depósitos naturais, etc.)"
D4,"Lagunagem (por exemplo, descarga de resíduos líquidos ou de lamas de depuração em poços, lagos naturais ou artificiais, etc.)"
D5,"Depósitos subterrâneos especialmente concebidos (por exemplo, deposição em alinhamentos de células que são seladas e isoladas umas das outras e do ambiente, etc.)"
D6,"Descarga para massas de águas, com excepção dos mares e dos oceanos"
D7,"Descargas para os mares e/ou oceanos, incluindo inserção nos fundos marinhos"
D8,"Tratamento biológico não especificado em qualquer outra parte da presente lista que produz compostos ou misturas finais que são rejeitados por meio de qualquer uma das operações enumeradas na presente lista"
D9,"Tratamento físico-químico não especificado em qualquer outra parte da presente lista que produz compostos ou misturas finais rejeitados por meio de qualquer uma das operações enumeradas na presente lista (por exemplo, evaporação, secagem, calcinação, etc.)"
D10,"Incineração em terra"
D11,"Incineração no mar"
D12,"Armazenagem permanente (por exemplo, armazenagem de contentores numa mina, etc.)"
D13,"Mistura anterior à execução de uma das operações enumeradas na presente lista"
D14,"Reembalagem anterior a uma das operações enumeradas na presente lista"
D15,"Armazenagem enquanto se aguarda a execução de uma das operações enumeradas na presente lista"
AP,"Armazenamento Preliminar"